Benchmark/1-4          	  200000	     10536 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10609 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10357 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10214 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10228 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10623 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10484 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10521 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10157 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10020 ns/op	   65712 B/op	       5 allocs/op
Benchmark/10-4         	  200000	     10894 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10950 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10801 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11351 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11136 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11085 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11185 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11356 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11256 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11210 ns/op	   66000 B/op	      23 allocs/op
Benchmark/100-4        	  100000	     16707 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16224 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     18346 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16929 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16724 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     17325 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16649 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16919 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16589 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16209 ns/op	   68880 B/op	     203 allocs/op
Benchmark/1000-4       	   20000	     70999 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     72849 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     72306 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     70096 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     71565 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     71234 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     70341 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     69737 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     68983 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     72668 ns/op	   97680 B/op	    2003 allocs/op
Benchmark/10000-4      	    2000	    632468 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    659143 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    652244 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    652393 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    654674 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    637056 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    634267 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    636747 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    642115 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/10000-4      	    2000	    632079 ns/op	  516880 B/op	   20007 allocs/op
Benchmark/100000-4     	     200	   8043657 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   7919760 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   8022971 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   8137430 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   8072063 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   8676752 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   8391275 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   8260398 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   8342667 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     200	   8555492 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/1000000-4    	      20	  91309569 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  88771620 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  87737527 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  87719059 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  89768908 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  90420264 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  88500312 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  88165503 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  90156249 ns/op	48830144 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      20	  87111871 ns/op	48830144 B/op	 2000491 allocs/op
