Benchmark/1-4          	 5000000	       260 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       239 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       241 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       243 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       260 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       251 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       295 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       255 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       238 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       243 ns/op	     208 B/op	       6 allocs/op
Benchmark/10-4         	 1000000	      2029 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1888 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      2190 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	  500000	      2694 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      2008 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      2069 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      2110 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      2362 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	  500000	      2130 ns/op	    4896 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      2003 ns/op	    4896 B/op	      27 allocs/op
Benchmark/100-4        	  200000	      8387 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8496 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8015 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7886 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7857 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7870 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7815 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7910 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7937 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8409 ns/op	    7776 B/op	     207 allocs/op
Benchmark/1000-4       	   20000	     71900 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     71425 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     94226 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     73576 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     72846 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     77373 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     77359 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     72775 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     73326 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70492 ns/op	   53152 B/op	    2015 allocs/op
Benchmark/10000-4      	    2000	    751678 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    736990 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    707433 ns/op	  486192 B/op	   20085 allocs/op
