Benchmark/1-4          	 5000000	       263 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       253 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       244 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       245 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       246 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       255 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       264 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       249 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       258 ns/op	     208 B/op	       6 allocs/op
Benchmark/1-4          	 5000000	       246 ns/op	     208 B/op	       6 allocs/op
Benchmark/10-4         	 1000000	      1045 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1047 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 2000000	      1014 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 2000000	      1005 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1050 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 2000000	       971 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 2000000	       986 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1195 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1040 ns/op	     752 B/op	      25 allocs/op
Benchmark/10-4         	 2000000	      1174 ns/op	     752 B/op	      25 allocs/op
Benchmark/100-4        	  200000	      8351 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7700 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8121 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7929 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7640 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7657 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7999 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8284 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8059 ns/op	    7776 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7743 ns/op	    7776 B/op	     207 allocs/op
Benchmark/1000-4       	   20000	     67945 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     67817 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     67876 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     68097 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     67843 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     67756 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     70180 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     71593 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     68825 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     69626 ns/op	   49008 B/op	    2013 allocs/op
Benchmark/10000-4      	    2000	    697173 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    753572 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    711527 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    774882 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    790234 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    688343 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    680889 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    696325 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    703063 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    736260 ns/op	  486192 B/op	   20085 allocs/op
Benchmark/100000-4     	     100	  11430537 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8302226 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8590881 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8016913 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8442197 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8209841 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8386115 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8517441 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8134204 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/100000-4     	     200	   8403919 ns/op	 4820736 B/op	  200787 allocs/op
Benchmark/1000000-4    	      20	 108621086 ns/op	48191040 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  90230298 ns/op	48191040 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  93292439 ns/op	48191040 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  89699579 ns/op	48191044 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  87126922 ns/op	48191040 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  86271279 ns/op	48191040 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  86525448 ns/op	48191044 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  89958580 ns/op	48191040 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  89242881 ns/op	48191040 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      20	  95295239 ns/op	48191044 B/op	 2007819 allocs/op
