Benchmark/1-4          	10000000	       218 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       211 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       222 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 5000000	       223 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       215 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       230 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       220 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       288 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       225 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       224 ns/op	     336 B/op	       4 allocs/op
Benchmark/10-4         	 2000000	       853 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	      1124 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       887 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       834 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       821 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       868 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       818 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       842 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       840 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       853 ns/op	     624 B/op	      22 allocs/op
Benchmark/100-4        	  200000	      8677 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8915 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      9010 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8669 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8608 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      9180 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	     11544 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      9643 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  100000	     12357 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8541 ns/op	    8880 B/op	     208 allocs/op
Benchmark/1000-4       	   20000	     78445 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     82691 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     81679 ns/op	   80688 B/op	    2014 allocs/op
