Benchmark/1-4          	10000000	       204 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       205 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       208 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       216 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       219 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       215 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       289 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 5000000	       221 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       223 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 5000000	       235 ns/op	     336 B/op	       4 allocs/op
Benchmark/10-4         	 2000000	       842 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       892 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       837 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       807 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       816 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       824 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       861 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       816 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       895 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       875 ns/op	     624 B/op	      22 allocs/op
Benchmark/100-4        	  200000	      8440 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8549 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8622 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8992 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8620 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8598 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8467 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      9120 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8587 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8937 ns/op	    8880 B/op	     208 allocs/op
Benchmark/1000-4       	   20000	     79247 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     84248 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     76736 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     79947 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     79562 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     78331 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     82066 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     96054 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     81798 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   20000	     78622 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/10000-4      	    2000	    979594 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    904546 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    943305 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    958358 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    932630 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    910535 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    966181 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    912858 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    933645 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/10000-4      	    2000	    998532 ns/op	 1105968 B/op	   20022 allocs/op
Benchmark/100000-4     	     100	  11452908 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  10943650 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  11277409 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  11397446 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  11282386 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  11032578 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  11531649 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  12476819 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  17988993 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/100000-4     	     100	  12247753 ns/op	 9490992 B/op	  200028 allocs/op
Benchmark/1000000-4    	      10	 128010525 ns/op	82331184 B/op	 2000034 allocs/op
Benchmark/1000000-4    	      10	 125470362 ns/op	82331184 B/op	 2000034 allocs/op
Benchmark/1000000-4    	      10	 127336389 ns/op	82331184 B/op	 2000034 allocs/op
Benchmark/1000000-4    	      10	 123545891 ns/op	82331184 B/op	 2000034 allocs/op
Benchmark/1000000-4    	      10	 135985796 ns/op	82331184 B/op	 2000034 allocs/op
Benchmark/1000000-4    	      10	 123723861 ns/op	82331184 B/op	 2000034 allocs/op
Benchmark/1000000-4    	      10	 124959871 ns/op	82331184 B/op	 2000034 allocs/op
