Benchmark/1-4          	 3000000	       598 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       519 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       653 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       524 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       579 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 2000000	       509 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       463 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       600 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       458 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       585 ns/op	    1216 B/op	       6 allocs/op
Benchmark/10-4         	 1000000	      1307 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1096 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1148 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1343 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1309 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1109 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1107 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1308 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1317 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1197 ns/op	    1504 B/op	      24 allocs/op
Benchmark/100-4        	  200000	      8961 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9874 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9787 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	     11192 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9808 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9596 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9696 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      8525 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9893 ns/op	    7696 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      8400 ns/op	    7696 B/op	     213 allocs/op
Benchmark/1000-4       	   20000	     98240 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   20000	     80681 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   20000	     95462 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   20000	     80868 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   20000	     96533 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   20000	     86470 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   20000	     97261 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   20000	    101872 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   10000	    107410 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/1000-4       	   20000	     92602 ns/op	   67408 B/op	    2097 allocs/op
Benchmark/10000-4      	    2000	    941495 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    875271 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    842084 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    972095 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    802075 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    885583 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    895805 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    800340 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    899444 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    864198 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/100000-4     	     200	  10220659 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  10751684 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  10360663 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  10040508 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  10554940 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  10909134 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  11049058 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  11032807 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  11073435 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  12264191 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/1000000-4    	      10	 133515956 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 117115271 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 114366588 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 127565410 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 119591065 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 106407112 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 117968618 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 126047705 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 116609786 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 105611946 ns/op	66501184 B/op	 2093754 allocs/op
