Benchmark/1-4          	 3000000	       630 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       459 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       658 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       460 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       655 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       457 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       616 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       456 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 3000000	       533 ns/op	    1216 B/op	       6 allocs/op
Benchmark/1-4          	 2000000	       536 ns/op	    1216 B/op	       6 allocs/op
Benchmark/10-4         	 1000000	      1102 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1111 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1298 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1362 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1116 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1102 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1319 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1325 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1101 ns/op	    1504 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1100 ns/op	    1504 B/op	      24 allocs/op
Benchmark/100-4        	  200000	     10506 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  200000	      9053 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  200000	      9555 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  200000	     10165 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  200000	      8780 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  200000	     10433 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  100000	     10505 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  200000	      9571 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  200000	     10408 ns/op	    8800 B/op	     216 allocs/op
Benchmark/100-4        	  200000	     10252 ns/op	    8800 B/op	     216 allocs/op
Benchmark/1000-4       	   10000	    103072 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   10000	    106246 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   20000	     86419 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   20000	     97460 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   20000	     81062 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   20000	     96490 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   20000	     84274 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   20000	     92039 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   20000	     87626 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/1000-4       	   20000	     87943 ns/op	   68512 B/op	    2100 allocs/op
Benchmark/10000-4      	    2000	    822695 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    940694 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    814840 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    856752 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    927251 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    804492 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    894364 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    927189 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    868032 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/10000-4      	    2000	    960945 ns/op	  665632 B/op	   20940 allocs/op
Benchmark/100000-4     	     100	  10568944 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     200	  10737856 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  11987237 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  10304813 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     200	  11206688 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  12082446 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     200	  10587991 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  11515111 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     200	   9588381 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/100000-4     	     100	  10956644 ns/op	 6651184 B/op	  209379 allocs/op
Benchmark/1000000-4    	      10	 135743715 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 119036181 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 133797741 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 143151913 ns/op	66501193 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 125566067 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 118916486 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 140861234 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 132166032 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 120781471 ns/op	66501184 B/op	 2093754 allocs/op
Benchmark/1000000-4    	      10	 128977488 ns/op	66501184 B/op	 2093754 allocs/op
