Benchmark/1-4          	10000000	       181 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       183 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       189 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       179 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       176 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       177 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       183 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       176 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       174 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       174 ns/op	     176 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1470 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1498 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1490 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1443 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1402 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1430 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1421 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1387 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1440 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1404 ns/op	    1328 B/op	      41 allocs/op
Benchmark/100-4        	  100000	     13597 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13710 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     14196 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     14092 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13988 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13761 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     20486 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     15078 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13921 ns/op	   12848 B/op	     401 allocs/op
