Benchmark/1-4          	10000000	       184 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       182 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       170 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       178 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       176 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       186 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       177 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       180 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       182 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       188 ns/op	     176 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1438 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1431 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1444 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1440 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1517 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1459 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1429 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1434 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1593 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1998 ns/op	    1328 B/op	      41 allocs/op
Benchmark/100-4        	  100000	     13789 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     15192 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13929 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13898 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     14378 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     16226 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13601 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13333 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     14142 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13634 ns/op	   12848 B/op	     401 allocs/op
Benchmark/1000-4       	   10000	    140426 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    134968 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    139664 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    142374 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    136552 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    140341 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    139423 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    138787 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    196482 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	   10000	    139258 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/10000-4      	    1000	   1498913 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1426991 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1411781 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1459645 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1504696 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1534747 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1560891 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1510495 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1602217 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/10000-4      	    1000	   1688240 ns/op	 1280048 B/op	   40001 allocs/op
Benchmark/100000-4     	      50	  29260543 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  28334733 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  29744215 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  26835055 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  30365113 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  27288144 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  28562663 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  26556780 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  25741232 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  26656497 ns/op	12800048 B/op	  400001 allocs/op
Benchmark/1000000-4    	       5	 314803269 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       3	 345224466 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       3	 336337805 ns/op	128000080 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       3	 340136230 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       3	 354034770 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 338778405 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       3	 590290567 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       3	 340990362 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       3	 462735295 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       3	 385378026 ns/op	128000048 B/op	 4000001 allocs/op
