Benchmark/1-4          	10000000	       206 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       214 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       212 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       211 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       211 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       212 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       222 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       208 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       229 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 5000000	       225 ns/op	     128 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1447 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1412 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1341 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1457 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1324 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1294 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1443 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1305 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1313 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1297 ns/op	     992 B/op	      27 allocs/op
Benchmark/100-4        	  200000	      9330 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9619 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9514 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9472 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	     10152 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9478 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9641 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9480 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9724 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	     10166 ns/op	    9248 B/op	     213 allocs/op
Benchmark/1000-4       	   20000	     81534 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     90658 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     84596 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     84027 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     82563 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     84645 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     82486 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     84126 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     81262 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     81612 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/10000-4      	    2000	    953266 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    971485 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    964940 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    937457 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    971738 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    949760 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    949883 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    958621 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    943914 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    963728 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/100000-4     	     100	  11476902 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  12558906 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11859414 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11886840 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11773480 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  12004243 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  12118166 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11572232 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11606691 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11858989 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/1000000-4    	      10	 131288254 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 128933404 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 124465232 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 131160461 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 129408906 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 125350200 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 132184271 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 126812275 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 130452565 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 132590402 ns/op	82331552 B/op	 2000039 allocs/op
