Benchmark/1-4          	10000000	       210 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       214 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       213 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       209 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       211 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       209 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       214 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       210 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       215 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       225 ns/op	     128 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1326 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1309 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1226 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1316 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1257 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1239 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1260 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1283 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1290 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1239 ns/op	     992 B/op	      27 allocs/op
Benchmark/100-4        	  200000	      9424 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9836 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9235 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9332 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	     10020 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9481 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9663 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9435 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9134 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  200000	      9315 ns/op	    9248 B/op	     213 allocs/op
Benchmark/1000-4       	   20000	     80988 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     82190 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     82987 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     81279 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     81589 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     80735 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     81275 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     79561 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     81064 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   20000	     82981 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/10000-4      	    2000	    939322 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    943842 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    914501 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    957278 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    940135 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    924450 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    935606 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    972012 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    940666 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    2000	    961894 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/100000-4     	     100	  11558581 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11728169 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11743122 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11408756 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11982918 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11178072 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11380005 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  13030869 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  12175801 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11631958 ns/op	 9491360 B/op	  200033 allocs/op
Benchmark/1000000-4    	      10	 132913364 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 151625562 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 155844852 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 127303634 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 135571813 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 148027300 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 138269550 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 137250857 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 132568101 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 121808964 ns/op	82331552 B/op	 2000039 allocs/op
