Benchmark/1-4          	10000000	       162 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       156 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       157 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       156 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       158 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       223 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       172 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       159 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       202 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       162 ns/op	      88 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1078 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1137 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1146 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1091 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1083 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1057 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1126 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1092 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1122 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1707 ns/op	     776 B/op	      29 allocs/op
Benchmark/100-4        	  200000	      6988 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6929 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6965 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      7050 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      7484 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      7019 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      7555 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      7584 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	     10950 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      7517 ns/op	    6664 B/op	     214 allocs/op
Benchmark/1000-4       	   20000	     76294 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     67530 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     69576 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     68650 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     66579 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     67466 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     64712 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     65544 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     65212 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     64822 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/10000-4      	    2000	    718143 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    720640 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    730514 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    754099 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    733610 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    717292 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    729945 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    741147 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    720845 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    721397 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/100000-4     	     100	  13487123 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  14395707 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  14715582 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  21555999 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  14730804 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  18606940 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  15049976 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  16229545 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  14914450 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13783382 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/1000000-4    	      10	 162454761 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 163759930 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 175678928 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 176610258 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 163604366 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 185315927 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 231707628 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 171205531 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 168388572 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 157111258 ns/op	114574216 B/op	 2000071 allocs/op
