Benchmark/1-4          	10000000	       155 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       162 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       158 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       158 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       158 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       156 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       152 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       152 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       161 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       165 ns/op	      88 B/op	       5 allocs/op
Benchmark/10-4         	 2000000	       945 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       864 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       859 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       909 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       866 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       858 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       867 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       921 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       924 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       893 ns/op	     600 B/op	      26 allocs/op
Benchmark/100-4        	  200000	      6540 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6406 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6220 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6664 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6499 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6477 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6538 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6511 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6899 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6502 ns/op	    5272 B/op	     209 allocs/op
Benchmark/1000-4       	   30000	     60175 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   30000	     81347 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   20000	     79758 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   30000	     57841 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   30000	     57915 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   30000	     78267 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   20000	     60057 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   30000	     56384 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   20000	     58726 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/1000-4       	   30000	     59165 ns/op	   48408 B/op	    2012 allocs/op
Benchmark/10000-4      	    2000	    644811 ns/op	  706328 B/op	   20021 allocs/op
Benchmark/10000-4      	    2000	    635610 ns/op	  706328 B/op	   20021 allocs/op
Benchmark/10000-4      	    2000	    655163 ns/op	  706328 B/op	   20021 allocs/op
Benchmark/10000-4      	    2000	    678662 ns/op	  706328 B/op	   20021 allocs/op
Benchmark/10000-4      	    2000	    636747 ns/op	  706328 B/op	   20021 allocs/op
Benchmark/10000-4      	    2000	    631976 ns/op	  706328 B/op	   20021 allocs/op
Benchmark/10000-4      	    2000	    640668 ns/op	  706328 B/op	   20021 allocs/op
Benchmark/10000-4      	    2000	    634007 ns/op	  706328 B/op	   20021 allocs/op
