Benchmark/1-4                	50000000	        31.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       321 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       304 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       306 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       303 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       316 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       309 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       308 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       311 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       305 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       306 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      2989 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2979 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3040 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3066 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3106 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3033 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2990 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3015 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3055 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3033 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     29917 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30111 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29981 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29967 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     31269 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30073 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29901 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30372 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29510 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30954 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    296238 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    296928 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    308882 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    319736 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    349252 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    323536 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    304524 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    302843 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    300234 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    312456 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   3010984 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3064891 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3005481 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3080976 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3034758 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2958546 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3041944 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3161278 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2995711 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3178144 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  31868891 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  30851141 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  30419942 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29845721 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29731236 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29903463 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29457196 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  32760403 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  30064727 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  30633044 ns/op	16000000 B/op	 1000000 allocs/op
