Benchmark/1-4                	50000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       356 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       354 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       350 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       350 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       359 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       352 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3425 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3461 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3446 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3479 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3447 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3436 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3420 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3457 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3483 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3440 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     34343 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34567 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34177 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34292 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34569 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34308 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34842 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34192 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34740 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34810 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    344988 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    343134 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    342900 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    351321 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    344350 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    344491 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    350417 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    341285 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    347636 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    349460 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   3423046 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3448073 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3428558 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3417300 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3463477 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3416807 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3425279 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3438399 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3421857 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3427291 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  34494844 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34213186 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34571870 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34458006 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34263386 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34506253 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34494893 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34480433 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34382743 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34584118 ns/op	16000000 B/op	 1000000 allocs/op
