Benchmark/1-4                	30000000	        35.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        36.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       352 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       354 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       361 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       354 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       352 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       354 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3462 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3435 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3442 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3465 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3483 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3493 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3483 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3481 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3438 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3467 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     34277 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34674 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34678 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34314 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34919 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34985 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34427 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34539 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     48143 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     45609 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    433272 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    466656 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    450655 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    414017 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    405013 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    404827 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    349147 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    380732 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    406895 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    346423 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   3848572 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3921433 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3777146 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     300	   4061983 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3449742 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   4019041 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     300	   4171576 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     300	   3664694 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   4054041 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     300	   4033289 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      30	  41013413 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  40825078 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  41127790 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  37458436 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  45194943 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  36534499 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34979071 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  36073356 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34895240 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34938159 ns/op	16000000 B/op	 1000000 allocs/op
