Benchmark/1-4                	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       365 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       359 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       383 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       362 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       362 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       414 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       371 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       376 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       381 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       374 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      4078 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3600 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3725 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3750 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3699 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3601 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3806 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  200000	      5821 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3949 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3732 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     36853 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36863 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36782 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     42432 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     38779 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     38176 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34582 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36828 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35599 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34789 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    3000	    349836 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    356275 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    366606 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    413300 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    371230 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    359330 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    364816 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    341313 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    355370 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    348113 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   3590746 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3556061 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   4115954 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3655917 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3637912 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3666595 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3557378 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3702493 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3454859 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3498895 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  45085329 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  48569456 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  42542387 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  36331171 ns/op	16000003 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  38445908 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34875989 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  34608291 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  36877437 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35222848 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35635158 ns/op	16000000 B/op	 1000000 allocs/op
