Benchmark/1-4                	50000000	        38.1 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.5 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.1 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.6 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.1 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.3 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.3 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        39.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        42.6 ns/op	      32 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       383 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       380 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       383 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       377 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       374 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       401 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       411 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       386 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       400 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       417 ns/op	     322 B/op	      10 allocs/op
Benchmark/100-4              	  300000	      3790 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  500000	      3928 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  300000	      3751 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  500000	      3843 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  500000	      4341 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  300000	      4454 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  300000	      4639 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  500000	      3884 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  500000	      3779 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  500000	      4923 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1000-4             	   30000	     43294 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   50000	     41691 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   50000	     44234 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   30000	     40545 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   50000	     38685 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   50000	     37508 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   30000	     38262 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   50000	     37395 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   50000	     38092 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   50000	     36693 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10000-4            	    5000	    374616 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    5000	    386178 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    5000	    396263 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    5000	    395006 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    3000	    388528 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    5000	    399012 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    5000	    378487 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    5000	    380045 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    5000	    378725 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    3000	    377722 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100000-4           	     500	   4274119 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     300	   3954271 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     300	   4011404 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     500	   3637108 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     500	   3758999 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     500	   3794585 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     500	   3865577 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     500	   3702904 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     500	   3723408 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/100000-4           	     500	   3741209 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000000-4          	      30	  37273748 ns/op	32250003 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      50	  39897756 ns/op	32250003 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      30	  39416005 ns/op	32250003 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      50	  38330620 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      50	  37926612 ns/op	32250001 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      30	  40553602 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      30	  37966470 ns/op	32250003 B/op	 1015625 allocs/op
