Benchmark/1-4                	50000000	        35.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        39.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        37.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        39.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        40.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        41.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       409 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       414 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       457 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       454 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       415 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       398 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       378 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       372 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       411 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3800 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3788 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3590 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3901 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3935 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3505 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3919 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3885 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3769 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3968 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   30000	     40785 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     43112 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     44357 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     40396 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     39020 ns/op	   16000 B/op	    1000 allocs/op
