Benchmark/1-4                	50000000	        38.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        38.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        37.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        37.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       371 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       403 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       383 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       397 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       379 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       375 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       382 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       371 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       375 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       376 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3691 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3604 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3687 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3633 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3672 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3628 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3698 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3661 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3717 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3707 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     36868 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     37072 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35675 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     37442 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35973 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35855 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35838 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36186 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35392 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35839 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    360504 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    361862 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    362826 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    364696 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    384549 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    376067 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    386201 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    362794 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    382210 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    368391 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   3807821 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3752858 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     300	   3837782 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3836146 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3717984 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3657319 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3583929 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3682737 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3589052 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3618953 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  38690906 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  38853622 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  37451626 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  36314148 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  36668586 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  37286751 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  37853242 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  38741088 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  37377109 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  36225847 ns/op	16000000 B/op	 1000000 allocs/op
