Benchmark/1-4                	50000000	        35.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        42.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        39.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        44.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        42.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       400 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       367 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       358 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       375 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       361 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       358 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       358 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       362 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       376 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       386 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3915 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3674 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3656 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3699 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3929 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      4065 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3973 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3706 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3834 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3955 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     35296 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     37969 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36498 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35426 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     38178 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     38343 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     38516 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     37244 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36489 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35975 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    364621 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    375250 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    377123 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    369534 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    374543 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    366692 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    353090 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    372625 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    351653 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    344206 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   3460244 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3628152 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3867248 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3506160 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3484352 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3499166 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3495473 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3469781 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3496490 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3747394 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  35605462 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35907837 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35156398 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35200749 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34928793 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35789536 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35560289 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  35226042 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35476903 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35836275 ns/op	16000000 B/op	 1000000 allocs/op
