Benchmark/1-4                	50000000	        39.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        39.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        39.4 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        41.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        52.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        50.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.7 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        40.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/10-4               	 3000000	       407 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       400 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 2000000	       584 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       395 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       377 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       398 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       398 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       412 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 2000000	       619 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       527 ns/op	     481 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3915 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3718 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3672 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3677 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3694 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3783 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      5081 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3694 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3713 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      4062 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     49753 ns/op	   48153 B/op	    1000 allocs/op
