Benchmark/1-4                	50000000	        30.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        26.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        26.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        26.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       278 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       299 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       272 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       279 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       287 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       341 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       280 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       289 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       394 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       272 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3453 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3618 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2626 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2650 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2619 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2662 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2725 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2785 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2747 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2755 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     28444 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     26732 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     26669 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     27284 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     39551 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     38230 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     26510 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     26341 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     26079 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     26563 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    258566 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    259627 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    259066 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    262822 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    259038 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    260163 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    280263 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    399155 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    273202 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    272908 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   2612526 ns/op	 1600000 B/op	  100000 allocs/op
