goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillCookiejarQueue/0-4         	  200000	     10246 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  200000	     10273 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  200000	      9955 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  200000	     10202 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  200000	      9813 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  200000	     11192 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  100000	     10170 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  200000	     10166 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  200000	     10131 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  200000	     10135 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  200000	      9840 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  200000	     10726 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  200000	      9889 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  200000	      9988 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  200000	     10642 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  200000	      9932 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  100000	     10404 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  200000	     10416 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  100000	     11455 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  200000	     11140 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     12100 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     11042 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     10536 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     10510 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     10512 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     10149 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     12903 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     10367 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     10175 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  200000	     10420 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     13398 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     12892 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     13460 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     13996 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     15439 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     13863 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     14293 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     13856 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     13980 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100000	     13117 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30000	     44052 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30000	     41283 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30000	     41005 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30000	     44103 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   50000	     42242 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30000	     41552 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30000	     46391 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   50000	     40899 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   50000	     40061 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30000	     40491 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    361766 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    342834 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    334209 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    353812 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    328842 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    331753 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    329124 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    329918 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    355305 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    5000	    353864 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     500	   3513947 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     500	   4071081 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     300	   3939773 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     500	   4002527 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     300	   4420265 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     500	   3824952 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     300	   3902112 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     500	   3734701 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     500	   3775407 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     500	   3560048 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  48171741 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  50133445 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  46871203 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  46158004 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  50252076 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  51250265 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  46518786 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  44560029 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  46003070 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      30	  44582672 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     10259 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     10089 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     10514 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     10331 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     10020 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	      9919 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     10212 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     10527 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     10418 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  200000	     11799 ns/op	   65680 B/op	       3 allocs/op
