goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillDequeQueue/0-4         	50000000	        38.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        37.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        37.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        37.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        38.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        36.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        37.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        36.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        37.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	50000000	        37.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       135 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       136 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       148 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       137 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       134 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       135 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       139 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       148 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       137 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	10000000	       135 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       615 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       613 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       611 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       610 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       621 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       652 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       640 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       627 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       648 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeQueue/10-4        	 2000000	       610 ns/op	     592 B/op	      15 allocs/op
