goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillJujuQueue/0-4         	 5000000	       381 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 3000000	       393 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 5000000	       378 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 5000000	       396 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 5000000	       374 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 5000000	       356 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 5000000	       357 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 5000000	       396 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 5000000	       372 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuQueue/1-4         	 3000000	       399 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 3000000	       399 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 5000000	       401 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 5000000	       404 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 3000000	       400 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 5000000	       399 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 5000000	       400 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 3000000	       400 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 5000000	       401 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/1-4         	 3000000	       398 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       740 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       741 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       741 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       743 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       741 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       781 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       742 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       741 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       742 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/10-4        	 2000000	       741 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4670 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4571 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4571 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4565 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4581 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4566 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4565 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4595 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4581 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/100-4       	  300000	      4565 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40651 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40719 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40658 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     41088 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40598 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40945 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40696 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40661 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40636 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/1000-4      	   30000	     40717 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuQueue/10000-4     	    3000	    409431 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    5000	    400615 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    5000	    400880 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    5000	    400567 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    5000	    399919 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    5000	    399808 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    3000	    409952 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    3000	    410636 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    3000	    401788 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/10000-4     	    5000	    400589 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4331700 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4353209 ns/op	 3325632 B/op	  104690 allocs/op
